Datetime;Open;High;Low;Close;Adj Close;Volume;Variacao
2020-09-01T13:01:00Z; 99382,02; 99395,04; 99382,02; 99395,04; 99395,04;0; 0,000000e+00
2020-09-01T13:02:00Z; 99397,78; 99415,78; 99397,78; 99415,78; 99415,78;0; 2,086623e-04
2020-09-01T13:03:00Z; 99414,02; 99435,19; 99414,02; 99435,19; 99435,19;0; 1,952406e-04
2020-09-01T13:04:00Z; 99432,07; 99459,23; 99432,07; 99459,23; 99459,23;0; 2,417655e-04
2020-09-01T13:05:00Z; 99443,54; 99458,58; 99443,54; 99458,58; 99458,58;0;-6,535341e-06
2020-09-01T13:06:00Z; 99458,98; 99520,37; 99458,98; 99520,37; 99520,37;0; 6,212636e-04
2020-09-01T13:07:00Z; 99547,39; 99638,72; 99547,39; 99638,72; 99638,72;0; 1,189204e-03
2020-09-01T13:08:00Z; 99610,66; 99610,66; 99599,25; 99599,25; 99599,25;0;-3,961311e-04
2020-09-01T13:09:00Z; 99588,28;100017,08; 99588,28;100017,08;100017,08;0; 4,195112e-03
2020-09-01T13:10:00Z;100081,63;100081,63;100036,12;100036,12;100036,12;0; 1,903675e-04
2020-09-01T13:11:00Z;100061,15;100074,89;100061,15;100074,89;100074,89;0; 3,875600e-04
2020-09-01T13:12:00Z;100424,95;100450,10;100424,95;100450,10;100450,10;0; 3,749292e-03
2020-09-01T13:13:00Z;100451,76;100475,86;100451,76;100475,86;100475,86;0; 2,564457e-04
2020-09-01T13:14:00Z;100508,24;100557,96;100508,24;100557,96;100557,96;0; 8,171117e-04
2020-09-01T13:15:00Z;100537,31;100537,31;100537,31;100537,31;100537,31;0;-2,053542e-04
2020-09-01T13:16:00Z;100586,06;100586,06;100586,06;100586,06;100586,06;0; 4,848946e-04
2020-09-01T13:17:00Z;100538,73;100538,73;100502,10;100502,10;100502,10;0;-8,347081e-04
2020-09-01T13:18:00Z;100460,37;100460,37;100391,83;100391,83;100391,83;0;-1,097191e-03
2020-09-01T13:19:00Z;100453,00;100453,00;100447,50;100447,50;100447,50;0; 5,545272e-04
2020-09-01T13:20:00Z;100497,62;100539,30;100497,62;100539,30;100539,30;0; 9,139103e-04
2020-09-01T13:21:00Z;100510,02;100540,43;100510,02;100540,43;100540,43;0; 1,123939e-05
2020-09-01T13:22:00Z;100563,67;100563,67;100562,62;100562,62;100562,62;0; 2,207072e-04
2020-09-01T13:23:00Z;100603,62;100603,62;100587,11;100587,11;100587,11;0; 2,435299e-04
2020-09-01T13:24:00Z;100573,15;100617,47;100573,15;100617,47;100617,47;0; 3,018279e-04
2020-09-01T13:25:00Z;100597,23;100654,42;100597,23;100654,42;100654,42;0; 3,672324e-04
2020-09-01T13:26:00Z;100603,33;100606,22;100603,33;100606,22;100606,22;0;-4,788662e-04
2020-09-01T13:27:00Z;100634,91;100686,82;100634,91;100686,82;100686,82;0; 8,011433e-04
2020-09-01T13:28:00Z;100653,82;100695,96;100653,82;100695,96;100695,96;0; 9,077653e-05
2020-09-01T13:29:00Z;100682,38;100755,21;100682,38;100755,21;100755,21;0; 5,884049e-04
2020-09-01T13:30:00Z;100856,95;100856,95;100853,63;100853,63;100853,63;0; 9,768229e-04
2020-09-01T13:31:00Z;100871,78;100871,78;100736,37;100736,37;100736,37;0;-1,162675e-03
2020-09-01T13:32:00Z;100865,29;100947,63;100865,29;100947,63;100947,63;0; 2,097157e-03
2020-09-01T13:33:00Z;100992,14;100992,14;100980,59;100980,59;100980,59;0; 3,265059e-04
2020-09-01T13:34:00Z;101013,14;101083,07;101013,14;101083,07;101083,07;0; 1,014848e-03
2020-09-01T13:35:00Z;101141,36;101194,56;101141,36;101194,56;101194,56;0; 1,102954e-03
2020-09-01T13:36:00Z;101247,71;101284,51;101247,71;101284,51;101284,51;0; 8,888818e-04
2020-09-01T13:37:00Z;101365,49;101412,49;101365,49;101412,49;101412,49;0; 1,263569e-03
2020-09-01T13:38:00Z;101469,78;101494,13;101469,78;101494,13;101494,13;0; 8,050290e-04
2020-09-01T13:39:00Z;101489,24;101489,24;101467,95;101467,95;101467,95;0;-2,579460e-04
2020-09-01T13:40:00Z;101528,34;101528,34;101508,29;101508,29;101508,29;0; 3,975640e-04
2020-09-01T13:41:00Z;101559,40;101579,27;101559,40;101579,27;101579,27;0; 6,992532e-04
2020-09-01T13:42:00Z;101530,63;101539,78;101530,63;101539,78;101539,78;0;-3,887604e-04
2020-09-01T13:43:00Z;101565,20;101565,20;101540,81;101540,81;101540,81;0; 1,014381e-05
2020-09-01T13:44:00Z;101584,97;101636,58;101584,97;101636,58;101636,58;0; 9,431676e-04
2020-09-01T13:45:00Z;101598,03;101647,83;101598,03;101647,83;101647,83;0; 1,106885e-04
2020-09-01T13:46:00Z;101640,98;101708,69;101640,98;101708,69;101708,69;0; 5,987339e-04
2020-09-01T13:47:00Z;101760,02;101819,31;101760,02;101819,31;101819,31;0; 1,087616e-03
2020-09-01T13:48:00Z;101775,77;101775,77;101769,55;101769,55;101769,55;0;-4,887089e-04
2020-09-01T13:49:00Z;101814,58;101814,58;101748,34;101748,34;101748,34;0;-2,084120e-04
2020-09-01T13:50:00Z;101699,76;101699,76;101685,16;101685,16;101685,16;0;-6,209438e-04
2020-09-01T13:51:00Z;101696,98;101696,98;101642,27;101642,27;101642,27;0;-4,217921e-04
2020-09-01T13:52:00Z;101601,22;101634,08;101601,22;101634,08;101634,08;0;-8,057671e-05
2020-09-01T13:53:00Z;101629,14;101629,14;101621,38;101621,38;101621,38;0;-1,249581e-04
2020-09-01T13:54:00Z;101610,13;101636,48;101610,13;101636,48;101636,48;0; 1,485908e-04
2020-09-01T13:55:00Z;101625,41;101652,76;101625,41;101652,76;101652,76;0; 1,601787e-04
2020-09-01T13:56:00Z;101668,60;101668,60;101660,15;101660,15;101660,15;0; 7,269847e-05
2020-09-01T13:57:00Z;101640,62;101640,62;101613,17;101613,17;101613,17;0;-4,621280e-04
2020-09-01T13:58:00Z;101557,00;101557,00;101539,73;101539,73;101539,73;0;-7,227410e-04
2020-09-01T13:59:00Z;101530,94;101547,22;101530,94;101547,22;101547,22;0; 7,376423e-05
2020-09-01T14:00:00Z;101556,20;101649,91;101556,20;101649,91;101649,91;0; 1,011254e-03
2020-09-01T14:01:00Z;101633,03;101633,03;101576,76;101576,76;101576,76;0;-7,196268e-04
2020-09-01T14:02:00Z;101549,77;101573,97;101549,77;101573,97;101573,97;0;-2,746691e-05
2020-09-01T14:03:00Z;101547,51;101554,06;101547,51;101554,06;101554,06;0;-1,960148e-04
2020-09-01T14:04:00Z;101569,80;101574,94;101569,80;101574,94;101574,94;0; 2,056048e-04
2020-09-01T14:05:00Z;101564,31;101644,34;101564,31;101644,34;101644,34;0; 6,832394e-04
2020-09-01T14:06:00Z;101621,92;101639,20;101621,92;101639,20;101639,20;0;-5,056848e-05
2020-09-01T14:07:00Z;101640,67;101640,67;101630,03;101630,03;101630,03;0;-9,022110e-05
2020-09-01T14:08:00Z;101608,04;101608,04;101580,87;101580,87;101580,87;0;-4,837153e-04
2020-09-01T14:09:00Z;101581,14;101581,14;101566,86;101566,86;101566,86;0;-1,379197e-04
2020-09-01T14:10:00Z;101591,79;101591,79;101586,86;101586,86;101586,86;0; 1,969146e-04
2020-09-01T14:11:00Z;101637,49;101637,49;101633,81;101633,81;101633,81;0; 4,621661e-04
2020-09-01T14:12:00Z;101619,07;101619,07;101571,01;101571,01;101571,01;0;-6,179046e-04
2020-09-01T14:13:00Z;101579,36;101579,36;101574,70;101574,70;101574,70;0; 3,632926e-05
2020-09-01T14:14:00Z;101590,58;101590,58;101578,50;101578,50;101578,50;0; 3,741089e-05
2020-09-01T14:15:00Z;101542,53;101585,97;101542,53;101585,97;101585,97;0; 7,353918e-05
